,county,date_local,time_local,sample_measurement,units_of_measure,detection_limit,uncertainty,method
36,San Francisco,2022-01-02,12:00,9.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
37,San Francisco,2022-01-02,13:00,8.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
38,San Francisco,2022-01-02,14:00,9.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
39,San Francisco,2022-01-02,15:00,12.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
40,San Francisco,2022-01-02,16:00,11.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
41,San Francisco,2022-01-02,17:00,10.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
42,San Francisco,2022-01-02,18:00,9.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
43,San Francisco,2022-01-02,19:00,12.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
44,San Francisco,2022-01-02,20:00,8.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
45,San Francisco,2022-01-02,21:00,11.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
46,San Francisco,2022-01-02,22:00,6.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
47,San Francisco,2022-01-02,23:00,2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
48,San Francisco,2022-01-03,00:00,2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
49,San Francisco,2022-01-03,01:00,4.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
50,San Francisco,2022-01-03,02:00,5.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
51,San Francisco,2022-01-03,03:00,8.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
52,San Francisco,2022-01-03,04:00,6.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
53,San Francisco,2022-01-03,05:00,2.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
54,San Francisco,2022-01-03,06:00,5.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
55,San Francisco,2022-01-03,07:00,8.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
56,San Francisco,2022-01-03,08:00,10.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
57,San Francisco,2022-01-03,09:00,7.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
58,San Francisco,2022-01-03,10:00,3.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
59,San Francisco,2022-01-03,11:00,0.0,Micrograms/cubic meter (LC),5.0,,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation
